0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:06 +0200] "GET /meneamedc/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:06 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 4181
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2016:18:56:07 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 304 -
